key,value
"Hotel/Motel/Etc.",108
"Residence/Home",102
"Other/Unknown",26
"Cyberspace",19
"Government/Public Building",16
"Commercial/Office Building",12
"Highway/Road/Alley/Street/Sidewalk",9
"Parking/Drop Lot/Garage",5
"Drug Store/Doctor's Office/Hospital",3
"Service/Gas Station",3
"Shopping Mall",3
"Specialty Store",3
"Bar/Nightclub",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"Restaurant",2
"Air/Bus/Train Terminal",1
"Convenience Store",1
"Department/Discount Store",1
"Gambling Facility/Casino/Race Track",1
"Liquor Store",1
"Park/Playground",1
"Rest Area",1
"School-College/University",1
"School-Elementary/Secondary",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Construction Site",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Field/Woods",0
"Grocery/Supermarket",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"School/College",0
"Shelter-Mission/Homeless",0
"Tribal Lands",0
